ano,percentual_mul,salario_homens,salario_mulheres,area_conhecimento
2013,90.3039291431379,11927.522726341,10771.0216713266,Biological Sciences
2013,88.9737236678109,12443.9054459894,11071.8060449983,Health Sciences
2013,90.1653547263593,12594.9974113883,11356.324093754,Exact and earth sciences
2013,92.230604462141,11957.0285524059,11028.0397095947,Human sciences
2013,80.7929104290145,15152.9739752407,12242.5286911481,Applied social sciences
2013,85.3380367832056,13968.575336615,11920.5079588503,Engineering
2013,95.5541921328412,11461.103139465,10951.5645144275,Linguistics and arts
2013,89.9912452197967,12089.19717,10879.2190703594,Multidisciplinar
2014,81.686358265629,14159.5717195716,11566.4384837279,Agrarian Sciences
2014,90.050378493906,12910.8160069308,11626.238680893,Biological Sciences
2014,88.7445770451738,13374.38696099,11869.0431409154,Health Sciences
2014,89.5746539138725,13938.1085138275,12485.012463401,Exact and earth sciences
2014,92.3139389066744,13076.891089136,12071.7932509174,Human sciences
2014,80.9023558401181,16018.8616265326,12959.6364346335,Applied social sciences
2014,83.8478530357604,15323.2492024947,12848.2154716111,Engineering
2014,95.5522024887851,12617.9830958428,12056.7607577404,Linguistics and arts
2014,88.287631221787,13173.5890591123,11630.6497271828,Multidisciplinar
2015,81.3593647685673,14818.515749374,12056.2502818208,Agrarian Sciences
2015,90.3528309540238,13438.8800576769,12142.4085806268,Biological Sciences
2015,88.5053162289119,13979.551006909,12372.6458260468,Health Sciences
2015,89.4329974437644,14553.4094753172,13015.550324041,Exact and earth sciences
2015,92.280564287474,13769.6620260786,12706.7218181434,Human sciences
2015,79.7898616398922,16989.3948596491,13555.814651969,Applied social sciences
2015,83.8661876375827,15916.2678616506,13348.3670697522,Engineering
2015,94.9867801478216,13131.1942709975,12472.8986329757,Linguistics and arts
2015,87.6227940962455,13742.3144053544,12041.3998554624,Multidisciplinar
2016,81.4998381261718,15779.884239378,12860.5801115904,Agrarian Sciences
2016,89.6430628867858,14384.7842232943,12894.9611674162,Biological Sciences
2016,88.2802958384283,14904.3456119166,13157.6003989818,Health Sciences
2016,90.0773291826039,15539.8891865349,13997.9171371669,Exact and earth sciences
2016,92.6871994186397,14556.8824846083,13492.3666976459,Human sciences
2016,79.8797433022748,17854.880386216,14262.4326194376,Applied social sciences
2016,84.9241211356693,16834.4846889705,14296.538169827,Engineering
2016,95.9725777837014,13885.0050263128,13325.7972491489,Linguistics and arts
2016,87.6784908501884,14465.5598331382,12683.1845547266,Multidisciplinar
2017,81.4416253643588,16510.9356625959,13446.7743664817,Agrarian Sciences
2017,88.5436406915155,14923.4852002798,13213.7971143872,Biological Sciences
2017,87.6164511948621,15395.5711163454,13489.0530533231,Health Sciences
2017,89.4336323191083,16485.8877198448,14743.928207907,Exact and earth sciences
2017,92.8749859586852,15314.6403911869,14223.470112938,Human sciences
2017,80.439649107426,18410.9101083388,14809.6714886314,Applied social sciences
2017,84.6934177493532,17713.3658860186,15002.0549673172,Engineering
2017,96.6002276064048,14604.66062424,14108.1354041588,Linguistics and arts
2017,86.1763368816728,15204.334842386,13102.5388143921,Multidisciplinar
