municipio;codmun;prefeito;partido;classificacao
CATOLÉ DO ROCHA;2504306;LEOMAR BENÍCIO MAIA;PTB;ESQUERDA
CATURITÉ;2504355;JOSÉ GERVAZIO DA CRUZ;PSD;DIREITA
CONCEIÇÃO;2504405;JOSÉ IVANILSON SOARES DE LACERDA;PSDB;CENTRO
CONDADO;2504504;CAIO RODRIGO BEZERRA PAIXAO;PR;DIREITA
CONDE;2504603;MÁRCIA DE FIGUEIREDO LUCENA LIRA;PSB;ESQUERDA
CONGO;2504702;JOAQUIM QUIRINO DA SILVA JUNIOR;PDT;ESQUERDA
COREMAS;2504801;FRANCISCA DA CHAGAS ANDRADE DE OLIVEIRA;PDT;ESQUERDA
COXIXOLA;2504850;GIVALDO LIMEIRA DE FARIAS;DEM;DIREITA
CRUZ DO ESPÍRITO SANTO;2504900;PEDRO GOMES PEREIRA;PSD;DIREITA
CUBATI;2505006;EDUARDO RONIELLE GUIMARÃES MARTINS DANTAS;PSB;ESQUERDA
CUITÉ;2505105;CHARLES CRISTIANO INÁCIO DA SILVA;PSL;DIREITA
CUITÉ DE MAMANGUAPE;2505238;DJAIR MAGNO DANTAS;PSC;DIREITA
CUITEGI;2505204;GUILHERME CUNHA MADRUGA JUNIOR;PSB;ESQUERDA
CURRAL DE CIMA;2505279;ANTONIO RIBEIRO SOBRINHO;PSDB;CENTRO
CURRAL VELHO;2505303;JOAQUIM ALVES BARBOSA FILHO;PSDB;CENTRO
DAMIÃO;2505352;LUCILDO FERNANDES DE OLIVEIRA;PSB;ESQUERDA
DESTERRO;2505402;DILSON DE ALMEIDA;PR;DIREITA
DIAMANTE;2505600;CARMELITA DE LUCENA MANGUEIRA;PSDB;CENTRO
DONA INÊS;2505709;JOÃO IDALINO DA SILVA;PSD;DIREITA
DUAS ESTRADAS;2505808;JOYCE RENALLY FELIX NUNES;PR;DIREITA
EMAS;2505907;JOSÉ WILLIAM SEGUNDO MADRUGA;PMDB;CENTRO
ESPERANÇA;2506004;NOBSON PEDRO DE ALMEIDA;PSB;ESQUERDA
FAGUNDES;2506103;MAGNA MADALENA BRASIL RISUCCI;PMDB;CENTRO
FREI MARTINHO;2506202;AGUIFAILDO LIRA DANTAS;PSB;ESQUERDA
GADO BRAVO;2506251;PAULO ALVES MONTEIRO;PSDB;CENTRO
GUARABIRA;2506301;ZENOBIO TOSCANO DE OLIVEIRA;PSDB;CENTRO
GURINHÉM;2506400;CLAUDIO FREIRE MADRUGA;PMDB;CENTRO
GURJÃO;2506509;RONALDO RAMOS DE QUEIROZ;PSC;DIREITA
IBIARA;2506608;FRANCISCO NENIVALDO DE SOUSA;PSB;ESQUERDA
IGARACY;2502607;JOSE CARNEIRO ALMEIDA  DA SILVA;PTB;DIREITA
IMACULADA;2506707;ALDO LUSTOSA DA SILVA;PSD;DIREITA
INGÁ;2506806;MANOEL BATISTA CHAVES FILHO;PSD;DIREITA
ITABAIANA;2506905;LÚCIO FLÁVIO ARAÚJO COSTA;PSB;ESQUERDA
ITAPORANGA;2507002;DIVALDO DANTAS;PMDB;CENTRO
ITAPOROROCA;2507101;ELISSANDRA MARIA CONCEIÇÃO DE BRITO;DEM;DIREITA
ITATUBA;2507200;ARON RENE MARTINS DE ANDRADE;PSB;ESQUERDA
JACARAÚ;2507309;ELIAS COSTA PAULINO LUCAS;PMDB;CENTRO
JERICÓ;2507408;CLAUDEEIDE DE OLIVEIRA MELO;PP;DIREITA
JOÃO PESSOA;2507507;LUCIANO CARTAXO PIRES DE SÁ;PSD;DIREITA
JOCA CLAUDINO;2513653;JORDHANNA LOPES DOS SANTOS;PTB;ESQUERDA
JUAREZ TÁVORA;2507606;MARIA ANA FARIAS DOS SANTOS;PSD;DIREITA
JUAZEIRINHO;2507705;BEVILACQUA MATIAS MARACAJÁ;PT do B;CENTRO
JUNCO DO SERIDÓ;2507804;KLEBER FERNANDES DE MEDEIROS;PSB;ESQUERDA
JURIPIRANGA;2507903;PAULO DALIA TEIXEIRA;PSB;ESQUERDA
JURU;2508000;LUIZ GALVÃO DA SILVA;PSB;ESQUERDA
LAGOA;2508109;ANTONIO SEVERINO FILHO;PSB;ESQUERDA
LAGOA DE DENTRO;2508208;FABIANO PEDRO DA SILVA;PSD;DIREITA
LAGOA SECA;2508307;FABIO RAMALHO DA SILVA;PSDB;CENTRO
LASTRO;2508406;ATHAIDE GONÇALVES DINIZ;PSDB;CENTRO
LIVRAMENTO;2508505;CARMELITA ESTEVÃO VENTURA SOUSA;PR;DIREITA
LOGRADOURO;2508554;CÉLIA MARIA DE QUEIROZ CARVALHO;PSB;ESQUERDA
LUCENA;2508604;MARCELO SALES DE MENDONÇA;PSB;ESQUERDA
MÃE D'ÁGUA;2508703;FRANCISCO CIRINO DA SILVA;PMDB;CENTRO
MALTA;2508802;MANOEL BENEDITO DE LUCENA FILHO;PMDB;CENTRO
MAMANGUAPE;2508901;MARIA EUNICE DO NASCIMENTO PESSOA;PSB;ESQUERDA
MANAÍRA;2509008;MANOEL BEZERRA RABELO;PMN;ESQUERDA
MARCAÇÃO;2509057;ELISELMA SILVA DE OLIVEIRA;PDT;ESQUERDA
MARI;2509107;ANTONIO GOMES DA SILVA;PSD;DIREITA
MARIZÓPOLIS;2509156;JOSÉ LINS BRAGA;PSDB;CENTRO
MASSARANDUBA;2509206;PAULO FRACINETTE DE OLIVEIRA;PSDB;CENTRO
MATARACA;2509305;EGBERTO COUTINHO MADRUGA;PTB;ESQUERDA
MATINHAS;2509339;MARIA DE FATIMA SILVA;PSD;DIREITA
MATO GROSSO;2509370;RAIMUNDO JOSE DE LIMA;PMDB;CENTRO
MATURÉIA;2509396;JOSÉ PEREIRA FREITAS DA SILVA;PDT;ESQUERDA
MOGEIRO;2509404;JOSÉ ALBERTO FERREIRA;PR;DIREITA
MONTADAS;2509503;JONAS DE SOUZA;PSD;DIREITA
MONTE HOREBE;2509602;MARCOS ERON NOGUEIRA;PMDB;CENTRO
MONTEIRO;2509701;ANNA LORENA DE FARIAS LEITE NÓBREGA;PSDB;CENTRO
MULUNGU;2509800;MELQUIADES JOÃO DO NASCIMENTO SILVA;PTB;ESQUERDA
NATUBA;2509909;JANETE SANTOS SOUZA DA SILVA;PMDB;CENTRO
NAZAREZINHO;2510006;SALVAN MENDES PEDROZA;PR;DIREITA
NOVA FLORESTA;2510105;JARSON SANTOS DA SILVA;PSB;ESQUERDA
NOVA OLINDA;2510204;DIOGO RICHELLI ROSAS;PSDB;CENTRO
NOVA PALMEIRA;2510303;AILTON GOMES MEDEIROS;PTB;ESQUERDA
OLHO D'ÁGUA;2510402;GENOILTON  JOAO DE CARVALHO ALMEIDA;PMDB;CENTRO
OLIVEDOS;2510501;JOSE DE DEUS ANIBAL LEONARDO;PSD;DIREITA
OURO VELHO;2510600;NATALIA CARNEIRO NUNES DE LIRA;PSD;DIREITA
PARARI;2510659;JOSÉ JOSEMAR FERREIRA DE SOUZA;PSB;ESQUERDA
PASSAGEM;2510709;MAGNO SILVA MARTINS;PMDB;CENTRO
PATOS;2510808;DINALDO MEDEIROS WANDERLEY FILHO;PSDB;CENTRO
PAULISTA;2510907;VALMAR ARRUDA DE OLIVEIRA;PR;DIREITA
PEDRA BRANCA;2511004;ALLAN FELIPHE BASTOS DE SOUSA;PR;DIREITA
PEDRA LAVRADA;2511103;JARBAS DE MELO AZEVEDO;PSD;DIREITA
PEDRAS DE FOGO;2511202;DERIVALDO ROMAO DOS SANTOS;PSB;ESQUERDA
PEDRO RÉGIS;2512721;JOSE AURELIO FERREIRA;PSDB;CENTRO
PIANCÓ;2511301;DANIEL GALDINO DE ARAUJO PEREIRA;PSD;DIREITA
PICUÍ;2511400;OLIVANIO DANTAS REMIGIO;PT;ESQUERDA
PILAR;2511509;JOSE BENICIO DE ARAUJO NETO;PSB;ESQUERDA
PILÕES;2511608;IREMAR FLOR DE SOUZA;PSB;ESQUERDA
PILÕEZINHOS;2511707;MONICA CRISTINA SANTOS DA SILVA;PSDB;CENTRO
PIRPIRITUBA;2511806;DENILSON DE FREITAS SILVA;PSDB;CENTRO
PITIMBU;2511905;LEONARDO JOSÉ BARBALHO CARNEIRO;PSD;DIREITA
POCINHOS;2512002;CLAUDIO CHAVES  COSTA;PTB;ESQUERDA
POÇO DANTAS;2512036;JOSÉ GURGEL SOBRINHO;PTB;ESQUERDA
POÇO DE JOSÉ DE MOURA;2512077;AURILEIDE EGÍDIO DE MOURA;DEM;DIREITA
POMBAL;2512101;ABMAEL DE SOUSA LACERDA;PMDB;CENTRO
PRATA;2512200;ANTONIO DA COSTA NOBREGA  JUNIOR;PMDB;CENTRO
PRINCESA ISABEL;2512309;RICARDO PEREIRA DO NASCIMENTO;PSB;ESQUERDA
PUXINANÃ;2512408;FELIPE GURGEL COUTINHO;PRB;ESQUERDA
QUEIMADAS;2512507;JOSÉ CARLOS DE SOUSA RÊGO;PSB;ESQUERDA
QUIXABA;2512606;CLÁUDIA MACÁRIO LOPES;PMDB;CENTRO
REMÍGIO;2512705;MELCHIOR NAELSON BATISTA DA SILVA;PSB;ESQUERDA
RIACHÃO;2512747;FABIO MOURA DE MOURA;PTB;ESQUERDA
RIACHÃO DO BACAMARTE;2512754;ERIVALDO GUEDES DO AMARAL;PSDB;CENTRO
RIACHÃO DO POÇO;2512762;MARIA AUXILIADORA DIAS DO REGO;DEM;DIREITA
RIACHO DE SANTO ANTÔNIO;2512788;JOSEVALDO DA SILVA COSTA;PTB;ESQUERDA
RIACHO DOS CAVALOS;2512804;JOAQUIM HUGO VIEIRA CARNEIRO;PP;DIREITA
RIO TINTO;2512903;JOSE FERNANDES GORGONHO  NETO;PSB;ESQUERDA
SALGADINHO;2513000;MARCOS ANTÔNIO ALVES;PSDB;CENTRO
SALGADO DE SÃO FÉLIX;2513109;ADJAILSON PEDRO SILVA DE ANDRADE;DEM;DIREITA
SANTA CECÍLIA;2513158;ROBERTO FLORENTINO PESSOA;DEM;DIREITA
SANTA CRUZ;2513208;PAULO CESAR FERREIRA BATISTA;PSB;ESQUERDA
SANTA HELENA;2513307;EMMANUEL FELIPE LUCENA MESSIAS;PSD;DIREITA
SANTA INÊS;2513356;JOÃO NILDO LEITE;PDT;ESQUERDA
SANTA LUZIA;2513406;JOSE ALEXANDRE DE ARAUJO;PMDB;CENTRO
SANTA RITA;2513703;EMERSON FERNANDES ALVINO PANTA;PSDB;CENTRO
SANTA TERESINHA;2513802;TEREZINHA LUCIA ALVES DE OLIVEIRA;PSDB;CENTRO
SANTANA DE MANGUEIRA;2513505;JOSÉ INÁCIO SOBRINHO;PSDB;CENTRO
SANTANA DOS GARROTES;2513604;JOSÉ PAULO FILHO;PSB;ESQUERDA
SANTO ANDRÉ;2513851;SILVANA FERNANDES MARINHO;PDT;ESQUERDA
SÃO BENTINHO;2513927;GIOVANA LEITE CAVALCANTI OLIMPIO;PSB;ESQUERDA
SÃO BENTO;2513901;JARQUES LUCIO DA SILVA II;DEM;DIREITA
SÃO DOMINGOS;2513968;ODAISA DE CASSIA QUEIROGA DA SILVA NÓBREGA;PR;DIREITA
SÃO DOMINGOS DO CARIRI;2513943;INARA MARINHO FERREIRA DA SILVA;PSDB;CENTRO
SÃO FRANCISCO;2513984;JOÃO BOSCO GADELHA DE OLIVEIRA FILHO;PSDB;CENTRO
SÃO JOÃO DO CARIRI;2514008;COSME GONÇALVES DE FARIAS;DEM;DIREITA
SÃO JOÃO DO RIO DO PEIXE;2500700;JOSÉ AIRTON PIRES DE SOUSA;PP;DIREITA
SÃO JOÃO DO TIGRE;2514107;JOSÉ MAUCÉLIO BARBOSA;PSB;ESQUERDA
SÃO JOSÉ DA LAGOA TAPADA;2514206;CLAUDIO ANTONIO MARQUES DE SOUSA;PSD;DIREITA
SÃO JOSÉ DE CAIANA;2514305;JOSE LEITE SOBRINHO;PR;DIREITA
SÃO JOSÉ DE ESPINHARAS;2514404;ANTONIO GOMES DA COSTA NETTO;PSB;ESQUERDA
SÃO JOSÉ DE PIRANHAS;2514503;FRANCISCO MENDES CAMPOS;PSB;ESQUERDA
SÃO JOSÉ DE PRINCESA;2514552;MARIA ASSUNÇÃO VIEIRA;PMDB;CENTRO
SÃO JOSÉ DO BONFIM;2514602;ROSALBA GOMES DA NÓBREGA;PMDB;CENTRO
SÃO JOSÉ DO BREJO DO CRUZ;2514651;ANA MARIA DA SILVA OLIVEIRA;PR;DIREITA
SÃO JOSÉ DO SABUGI;2514701;JOAO DOMICIANO DANTAS SEGUNDO;DEM;DIREITA
SÃO JOSÉ DOS CORDEIROS;2514800;JEFFERSON ROBERTO DO NASCIMENTO PINTO DA SILVA;PSB;ESQUERDA
SÃO JOSÉ DOS RAMOS;2514453;EDUARDO GINDRE CAXIAS DE LIMA;PMDB;CENTRO
SÃO MAMEDE;2514909;UMBERTO JEFFERSON DE MORAIS LIMA;DEM;DIREITA
SÃO MIGUEL DE TAIPU;2515005;CLODOALDO BELTRÃO BEZERRA DE MELO;PMDB;CENTRO
SÃO SEBASTIÃO DE LAGOA DE ROÇA;2515104;SEVERO LUIS DO NASCIMENTO NETO;PSDB;CENTRO
SÃO SEBASTIÃO DO UMBUZEIRO;2515203;ADRIANO JERONIMO WOLFF;DEM;DIREITA
SÃO VICENTE DO SERIDÓ;2515401;MARIA GRACIETE DO NASCIMENTO DANTAS;PSB;ESQUERDA
SAPÉ;2515302;FLAVIO ROBERTO MALHEIROS FELICIANO;PSB;ESQUERDA
SERRA BRANCA;2515500;VICENTE FIALHO DE SOUSA NETO;PDT;ESQUERDA
SERRA DA RAIZ;2515609;ADAILMA FERNANDES DA SILVA LIMA;PTB;ESQUERDA
SERRA GRANDE;2515708;JAIRO HALLEY DE MOURA CRUZ;PSDB;CENTRO
SERRA REDONDA;2515807;DANILO JOSE ANDRADE DE OLIVEIRA;PSD;DIREITA
SERRARIA;2515906;PETRONIO DE FREITAS SILVA;PSD;DIREITA
SERTÃOZINHO;2515930;JOSE DE SOUZA MACHADO;PSL;DIREITA
SOBRADO;2515971;GEORGE JOSÉ PORCIÚNCULA PEREIRA COELHO;PSB;ESQUERDA
SOLÂNEA;2516003;KAYSER NOGUEIRA PINTO ROCHA;DEM;DIREITA
SOLEDADE;2516102;GERALDO MOURA RAMOS;PP;DIREITA
SOSSÊGO;2516151;LUSINEIDE OLIVEIRA LIMA;PSB;ESQUERDA
SOUSA;2516201;FÁBIO TYRONE BRAGA DE OLIVEIRA;PSB;ESQUERDA
SUMÉ;2516300;EDEN DUARTE PINTO DE SOUSA;PSB;ESQUERDA
TACIMA;2516409;ERIVAN BEZERRA DANIEL;PMDB;CENTRO
TAPEROÁ;2516508;JURANDI GOUVEIA FARIAS;PMDB;CENTRO
TAVARES;2516607;AILTON NIXON SUASSUNA PORTO;PMDB;CENTRO
TEIXEIRA;2516706;EDMILSON ALVES DOS REIS;PMDB;CENTRO
TENÓRIO;2516755;EVILÁZIO DE ARAÚJO SOUTO;PSB;ESQUERDA
TRIUNFO;2516805;JOSÉ MANGUEIRA TORRES;PTB;ESQUERDA
UIRAÚNA;2516904;JOÃO BOSCO NONATO FERNANDES;PSDB;CENTRO
UMBUZEIRO;2517001;JOSÉ NIVALDO DE ARAÚJO;PSB;ESQUERDA
VÁRZEA;2517100;OTONI COSTA DE MEDEIROS;DEM;DIREITA
VIEIRÓPOLIS;2517209;JOSÉ CELIO ARISTOTELES;PSC;DIREITA
VISTA SERRANA;2505501;SERGIO GARCIA DA NOBREGA;PMDB;CENTRO
ZABELÊ;2517407;SEBASTIÃO DALYSON DE LIMA NEVES;PSDB;CENTRO
